sentence_id,length_class,avg_wer,avg_cer,difficulty_rank
019,long,0.8033,0.3903,1
023,short,0.7339,0.3777,2
032,short,0.9516,0.3733,3
034,short,0.8629,0.3381,4
056,long,0.7166,0.3324,5
053,short,0.7254,0.3323,6
067,short,0.6411,0.3196,7
055,short,0.7782,0.3032,8
039,short,0.7129,0.3027,9
052,short,0.8484,0.2998,10
058,long,0.7939,0.2929,11
014,short,0.5927,0.2925,12
044,long,0.7231,0.2892,13
027,long,0.672,0.2861,14
068,long,0.5683,0.2751,15
066,short,0.6581,0.2664,16
001,short,0.8129,0.2651,17
062,long,0.6107,0.2646,18
065,short,0.7226,0.2592,19
029,short,0.729,0.2525,20
024,long,0.5874,0.2516,21
057,long,0.6228,0.2474,22
013,long,0.6935,0.2428,23
042,short,0.8097,0.2419,24
003,short,0.4798,0.2401,25
012,short,0.6516,0.2372,26
051,long,0.7119,0.2372,27
061,long,0.6048,0.2368,28
033,short,0.7633,0.231,29
021,long,0.5511,0.2277,30
046,short,0.5914,0.2258,31
031,short,0.6371,0.2246,32
026,short,0.5524,0.2243,33
025,long,0.471,0.2224,34
047,short,0.5376,0.2151,35
059,long,0.6313,0.2138,36
006,short,0.5968,0.2137,37
045,short,0.6828,0.2131,38
002,long,0.6336,0.2128,39
008,short,0.5323,0.2114,40
018,long,0.6591,0.2113,41
035,short,0.5565,0.2097,42
030,short,0.5645,0.2059,43
048,short,0.6935,0.1976,44
054,long,0.4415,0.1969,45
041,short,0.5323,0.1965,46
022,long,0.4964,0.1955,47
037,long,0.5941,0.1948,48
043,short,0.4556,0.1914,49
063,long,0.5898,0.1843,50
004,long,0.424,0.1824,51
036,short,0.4581,0.1823,52
009,short,0.4395,0.1763,53
038,short,0.4516,0.1751,54
040,short,0.543,0.1746,55
015,long,0.509,0.1713,56
028,short,0.8361,0.1651,57
060,long,0.5461,0.165,58
007,short,0.5742,0.1645,59
016,short,0.5452,0.163,60
050,long,0.4234,0.1613,61
064,short,0.3629,0.1548,62
017,long,0.4754,0.1548,63
049,long,0.3656,0.1535,64
010,long,0.4217,0.1529,65
020,short,0.6613,0.1523,66
011,long,0.5,0.1469,67
005,short,0.4452,0.1385,68
