student_id,overall_accuracy,fluency,hesitation,sentence_length_gap,overall_accuracy_wer,sentence_length_gap_wer,cluster_label,cluster_name
S001,0.0644,0.5079,0.1432,0.411,0.4225,-0.0002,2,Accurate
S002,0.0525,0.3199,0.3765,0.231,0.3925,-0.0197,2,Accurate
S003,0.0629,0.4684,0.4012,0.358,0.4533,-0.0394,2,Accurate
S004,0.0719,0.5039,0.3547,0.4068,0.4183,-0.1405,2,Accurate
S005,0.0673,0.5118,0.0451,0.3328,0.4342,-0.07,2,Accurate
S006,0.0986,0.4272,0.1837,0.4119,0.4543,-0.0421,2,Accurate
S007,0.1724,0.5057,0.2214,0.2395,0.5383,-0.0734,2,Accurate
S008,0.1966,0.5508,0.1885,0.1873,0.5653,-0.1375,2,Accurate
S009,0.2238,0.5545,0.0882,0.414,0.6405,-0.0905,2,Accurate
S010,0.2327,0.2084,0.8072,0.3379,0.5975,-0.11,0,Accurate & Slow Reader & Hesitant
S011,0.1847,0.1929,0.725,0.4974,0.528,-0.0625,0,Accurate & Slow Reader & Hesitant
S012,0.3674,0.3462,0.5427,0.1257,0.6876,0.0109,0,Accurate & Slow Reader & Hesitant
S013,0.1811,0.4693,0.4054,0.4962,0.6231,-0.054,2,Accurate
S014,0.2198,0.6034,0.0955,0.4538,0.6077,0.014,2,Accurate
S015,0.2702,0.5299,0.4185,0.0,0.654,-0.175,2,Accurate
S016,0.2188,0.6395,0.3694,0.3062,0.6015,-0.0676,2,Accurate
S017,0.2438,0.6036,0.0,0.3824,0.6132,0.048,2,Accurate
S018,0.1522,0.3455,0.4976,0.2973,0.5333,-0.0582,0,Accurate & Slow Reader & Hesitant
S019,0.3591,0.5149,0.6249,0.4303,0.7472,0.0154,0,Accurate & Slow Reader & Hesitant
S020,0.1204,0.4169,0.4732,0.2352,0.4854,-0.0344,2,Accurate
S021,0.2392,0.5208,0.1452,0.4564,0.6199,-0.0355,2,Accurate
S022,0.2518,0.1741,0.5764,0.373,0.581,0.0145,0,Accurate & Slow Reader & Hesitant
S023,1.0,0.7658,0.1982,0.3242,0.9653,-0.0272,1,Moderate Accuracy
S024,0.4635,0.4141,0.2532,0.4923,0.779,-0.076,1,Moderate Accuracy
S025,0.3426,0.4046,0.4437,0.6245,0.7211,0.0846,1,Moderate Accuracy
S026,0.2725,0.4957,0.5642,0.237,0.6361,-0.0526,0,Accurate & Slow Reader & Hesitant
S027,0.3727,0.5221,0.2487,0.1514,0.7218,-0.0831,2,Accurate
S028,0.1226,0.2842,0.2277,0.308,0.5153,-0.0784,2,Accurate
S029,0.2148,0.374,0.2606,0.1993,0.5916,-0.0667,2,Accurate
S030,0.263,0.6375,0.1208,0.1565,0.6606,-0.1174,2,Accurate
S031,0.4037,0.0,1.0,0.1591,0.684,-0.1016,0,Accurate & Slow Reader & Hesitant
S032,0.1847,0.5001,0.2481,0.2913,0.5414,-0.0763,2,Accurate
S033,0.2054,0.3248,0.3198,0.3298,0.5723,0.0001,2,Accurate
S034,0.3185,0.3739,0.3538,0.6394,0.6021,0.0101,1,Moderate Accuracy
S035,0.2536,0.4603,0.366,0.2442,0.5582,-0.013,2,Accurate
S036,0.2175,0.2964,0.3261,0.3563,0.596,-0.0549,2,Accurate
S037,0.248,0.4928,0.1477,0.3922,0.5974,-0.1123,2,Accurate
S038,0.1224,0.576,0.3059,0.1484,0.515,-0.0791,2,Accurate
S039,0.2591,0.5417,0.0051,0.2596,0.6803,-0.0631,2,Accurate
S040,0.3243,0.4204,0.319,0.0898,0.6761,-0.1332,2,Accurate
S041,0.3243,0.5334,0.1642,0.3721,0.6875,-0.0344,2,Accurate
S042,0.2637,0.5057,0.516,0.2451,0.6187,-0.0624,0,Accurate & Slow Reader & Hesitant
S043,0.3127,0.4095,0.3754,0.5398,0.7243,0.0299,1,Moderate Accuracy
S044,0.4272,0.4614,0.1877,0.5133,0.7431,0.012,1,Moderate Accuracy
S045,0.3084,0.2118,0.5631,0.4234,0.6804,-0.0108,0,Accurate & Slow Reader & Hesitant
S046,0.3652,0.5784,0.1443,0.2763,0.6902,-0.0971,2,Accurate
S047,0.1266,0.3766,0.355,0.3135,0.5564,-0.1002,2,Accurate
S048,0.4244,0.575,0.2719,0.2836,0.7379,-0.0544,2,Accurate
S049,0.3212,0.687,0.2248,0.3986,0.7208,-0.0853,2,Accurate
S050,0.7393,1.0,0.9141,1.0,0.8882,0.0815,1,Moderate Accuracy
S051,0.4572,0.5093,0.9212,0.5278,0.7809,-0.0327,0,Accurate & Slow Reader & Hesitant
S052,0.3788,0.3833,0.7012,0.2139,0.6889,-0.0915,0,Accurate & Slow Reader & Hesitant
S053,0.0918,0.4578,0.4432,0.3345,0.4748,-0.071,2,Accurate
S054,0.1544,0.5552,0.302,0.1873,0.5454,-0.0848,2,Accurate
S055,0.0,0.515,0.1871,0.2831,0.3691,-0.1397,2,Accurate
S056,0.1063,0.5632,0.0329,0.2712,0.4772,-0.0685,2,Accurate
S057,0.3175,0.5613,0.4474,0.1985,0.6826,-0.082,2,Accurate
S058,0.4434,0.621,0.5585,0.6446,0.7298,-0.0014,1,Moderate Accuracy
S059,0.1052,0.5272,0.4006,0.5056,0.5139,0.0317,2,Accurate
S060,0.2198,0.7353,0.0369,0.1155,0.6173,-0.1517,2,Accurate
S061,0.1953,0.4579,0.7026,0.4534,0.5725,-0.0164,0,Accurate & Slow Reader & Hesitant
S062,0.073,0.4404,0.1806,0.3097,0.5721,-0.1186,2,Accurate
